date,sub_id,tot_rev_score,avg_rev_score,rev_stage,name,title,acres_map,acres_edrr,acres_trt,summary,amount_req,amount_match,amount_fed
2024-07-30T11:12:51MDT,71f52f4f-e237-4f4d-8ba8-eb95d5361b25,261,65.25,Scoring,Carlsbad Soil and Water Conservation District,African Rue Treatment in southeastern New Mexico,NA,NA,1 000,"Southeast NM is seeing a large uptick in the spread of African Rue due to the movement of the oilfield industry. Carlsbad SWCD is the lead for the Eddy County Coordinated Weed Management  Group. We work with BLM, Eddy County, City of Carlsbad, Carlsbad Irrigation District, Oil and Gas Industry and numerous other agencies. We will apply herbicide by hand treatment method to African Rue.  Optimal treatment of African Rue is twice a year, in the spring and again in the fall when the plant is blooming.",60 000,70 000,NA
2024-07-30T11:30:42MDT,7e9a9491-09d8-43c6-a98a-a08bdfa1aeae,301,75.25,Scoring,New Mexico Wilderness Alliance (New Mexico Wild),Gila Wilderness- Invasive Species Field Team,160,320,1 600,"In recent years the Gila National Forest (GNF) has been working with partner groups to complete invasive species surveys of the Wilderness areas it manages. 512 survey miles were completed in the Gila by partner group, Heart of the Gila. This project will use results of these surveys to target noxious weed treatments primarily in the Gila Wilderness. New Mexico Wild staff will be trained in Invasive species identification and physical removal methods. Focus species include Class A (yellow toadflax, camelthorn), Class B (bull thistle, poison hemlock), Class C (Siberian Elm, Eurasian watermilfoil, cheat grass).  Priorities will be identified with the GNF in early Spring, 2025, training begins in April, and five multiday backcountry hitches to conduct treatments will take place subsequently. The team will locate previous, spatially mapped infestations of Class A, B, and C species and complete treatments using established physical removal methods. If new infestations are found, they will be immediately surveyed with the Forest Service TESP-IS mobile application and then removed in an EDRR protocol. New infestations that can’t be immediately treated will be mapped. We will follow removal, EDRR, and survey guidelines laid out by USDA Forest Service-Southwestern region. The project also includes an education component consisting of four projects open to volunteers, who will help remove priority invasives. These projects will include sharing information from NMDA about detecting and treating early infestations of invasive plants, plus information about identifying priority noxious weeds. Post evaluation of treatments will be conducted by the GNF and partners.",59 941.42,23 198.9,NA
2024-07-30T11:52:11MDT,8a8efa33-da2d-43f0-98af-ecddc0d5c761,270,67.5,Scoring,Border Soil & Water Conservation District,Leave the Lands Better Than You Found Them Through Noxious Weed Management,15 000,NA,200,"Our 18-month proposal for Class B species focuses on African Rue, Spiny cockleburs and thistles.  Eighteen months can provide three Rue treatments; it is sprayed when in bloom in spring and fall.  The third treatment can take place September 2025.
Objectives and methods include:  
1) Land manager permissions are in progress.  Landowner information will be continually updated through Chaves and Roosevelt County Assessors and onX mapping application.  Written agreements, JPAs and MOUs will be offered to land managers.  
2) Mapping & Education:  Provide trainings and materials to include, plant identification, detection and reporting of infestations using GPS, onX, Avenza and ArcGIS mapping.  Update existing maps as infestations are located and provide detailed treatment and reclamation data.  Coordinate with Extension Services to offer CEUs and herbicide application trainings.  
3) Integrate treatment plans:  Offer treatment cost-shares particularly for initial Rue treatment in September 2024.  Procurement procedures in place by October 2024 to complete RFPs enabling commercial applicator availability.  More applicators are now available in the area and have expressed interest in BSWCD’s Noxious Weed Program.
5) Establish reclamation plans:  Continuously monitor treated areas for timely reclamation practices. Offer cost-sharing for native seed, appropriate soil preparation materials like fertilizer and compost materials.  Documentation, photos, data sharing and on-site visits will be ongoing.
6) Strengthen partnerships:  Mapping, data sharing and treatments require statewide collaboration with agencies, SWCDs and CWMAs.  Our ultimate objective of landscape restoration naturally encourages teamwork.
",59 746.5,13 610,NA
2024-07-30T11:52:18MDT,e12456d6-1bd8-47e5-b423-0ce8faf641a2,274,68.5,Scoring,Taos Land Trust,Rio Fernando Park and Vigil y Romo Acequia Invasive Species Mitigation,45,45,45,"Taos Land Trust owns and maintains for public use a 20 acre park in Taos, adjacent to a 20 acre Taos municipal open space. We are active parciantes on the Vigil y Romo Acequia, which includes the Town of Taos and adjacent property owners of 5 additional acres in the project area. We will map, immediately address, and treat Class A, Class B, and Class C species that are prevalent on our property and adjacent sites for a total project area of 45 acres. We have begun mapping for Class A, Class B , and Class C species with a seasonal youth crew, and will augment that with mapping using staff time and GPS. For each species, we will identify two 30m X 30m plots with 3m X 3m subplots to monitor pre-and-post treatment inventory. Treatment methods include physical, mechanical, cultural, fire with individual blow torch applications, and chemical with high strength vinegar application. Commercial pesticides will not be used because we will be treating in an 8 acre wetlands area and 20 acres of the site is under a conservation easement. We will host public workshops to share our treatment results. For Siberian elm and Russian olive trees >10 inches, we will mill suitable material for use on the property, as a means to demonstrate possible commercial and artisanal uses for these woods. Work will take place between September 2024 and June 2025. Partners include the Town of Taos, Taos Land Trust, and the Vigil y Romo Acequia commission.",59 950,10 037.6,NA
2024-07-29T17:40:57MDT,9a6b60c8-2b1e-4c5e-8e69-36a5abb7da7b,245,61.25,Scoring,Deming Soil & Water Conservation District,Luna County Intergrated Weed Management,NA,NA,350,"Luna County and the Deming Soil and Water Conservation District are concerned with the current infestations of African Rue, Malta Starthistle, Russian Knapweed, and Saltcedar within our county. These noxious and invasive plants reduce the agricultural, economical, and recreational value of the land.   Private landowners, public land users, and local governments and organizations must work together to implement this plan.

In order to achieve our goals, we will be utilizing an experienced contractor to treat these noxious species on public and private land.  Areas of high use will be targeted to reduce the spread of these plants from high volume vehicle and foot traffic.  There will be a strong focus on the treatment of roadways, right of ways, and public areas.  We will be monitoring the acres treated by evaluating current and past treatment areas and identifying areas of infestation that will require future herbicidal applications.

Our goal is to treat the noxious vegetation with herbicides on approximately 350 acres of private and public lands for the period of 9/24 – 11/25.  We will be monitoring these areas for re-infestation and treatment success. Documentation of methods and specific herbicides utilized are required of any contractor or individual who is applying the chemical treatment.  Specific location data (GPS coordinates) will also be required which will enable us to track areas of treatment and possible future reapplication.  Photos of these locations will be taken before and after chemical application to ensure that treatment efforts have been successful.
",55 125,0,NA
2025-04-05T03:58:38MDT,6bc99220-f92e-43db-a9ed-49ed72b70c15,-1,-1,Eligibility Check,Coddington Twin Springs Ranch,Comprehensive Thistle Management Initiative at The Coddington Twin Springs Ranch,180,640,180,"We seek support to manage invasive thistles impacting our grasslands through mechanical, chemical, and manual treatments, while also engaging neighboring landowners—many of whom are elderly or infirm—in outreach and education to promote long-term, community-based weed management.",47 673.8,29 120,0
2025-04-09T15:10:26MDT,70609e6e-e210-489a-97f1-1453e5c51096,-1,-1,Eligibility Check,San Luis Cabezon Mutual Domesti Water Association,Noxious Weed Management along the RIo Puerco,30 000,NA,5 000,"Grazing: Can be used with some species to reduce seed production, but often needs to be combined with other methods
Mulching: Creates a barrier to weed growth, preventing seeds from germinating",60 000,21 000,0
2025-04-11T09:28:27MDT,2a061882-b91c-48be-9cc7-17ea46a97ce3,191,47.75,Scoring,Upper Hondo SWCD,Community Walk Path Noxious Weed Project,2.5,2.5,2.5,Community walk path needs bi-annual chemical treatment for noxious and invasive weeds. This area is well used by the community as well as students. We are in need of an ATV boom sprayer and chemical to effectively treat this area.,3 899.09,0,0
2025-04-11T10:59:40MDT,8ff56bda-86f0-4a21-a824-5ef377b5a167,269,67.25,Scoring,Carlsbad Soil and Water Conservation District,African Rue Mapping & Management Project,300,NA,50,"This project aims to improve the mapping and the treatment efficiency of African rue. Our goals for the project are to collect data on infestations, adjust treatment timing, increase treatment efficiency, measure results, and share management resources with our partners.",60 000,18 375,40 300
2025-04-10T16:30:37MDT,c0dd6637-380a-45e0-8d7c-129dfb2c6d1a,250,62.5,Scoring,SW Quay SWCD,Sustainable Noxious Weed Management for Enhanced Agricultural Productivity,NA,NA,2 000,"This project focuses on controlling noxious weeds on agricultural land using either mechanical or chemical treatments. By collaborating with producers, we aim to reduce weed populations, improve land productivity, and provide sustainable land management solutions.",44 884,16 000,0
2025-04-03T15:42:29MDT,58755188-d805-4daa-acac-fb69d65f8fa1,291,72.75,Scoring,Mesa Soil & Water Conservation District,Mesa SWCD Noxious Weed Treatment,NA,NA,44.7,"Hand treatment by cut stump method of Siberian Elm and chemical treatment of Saltcedar on the Canadian River. This project is an ongoing effort to restore the Canadian River watershed partnering with landowners, state and federal Agencies and 8 Districts.",59 634.03,223 391,223 391
2025-04-08T20:57:01MDT,70cb5933-e125-4041-9826-070bf6a77615,231,57.75,Scoring,High Plains Cooperative Weed Management Area,Partnering for Noxious Weed Management,200,200,170,"All 5 selected activities will be incorporated and all weed classes will be addressed with a focus on African Rue.  Our current Integrated Weed Management project will move forward by leveraging partnerships, developing capacity and expanding education.",59 812.5,16 300,0
2025-04-10T11:02:52MDT,c5c4d1bd-ee31-4933-8cb6-318fa8999c41,243,60.75,Scoring,Colfax Soil And Water Conservation District,Black Lake Invasive Thistle Mapping and Treatment,450,NA,450,"Colfax SWCD proposes mapping and treatment of noxious thistle across 450 acres near Black Lake, NM. Rocky Mountain Ecology (RME) would implement project activities and has successfully teamed with both the NMSLO and CSWCD in the past.",59 999.5,10 000,0
2025-04-10T14:45:33MDT,54d0671b-72e2-4be5-8fae-bcf014e4dd7f,293,73.25,Scoring,New Mexico Wilderness Alliance (New Mexico Wild),Gila Wilderness- Invasive Species Field Team,160,320,1 600,New Mexico Wild will expand a current project that uses previously mapped infestations to target noxious weeds on the Gila NF for physical removal. We’ll expand the project’s current footprint and increase efficacy of previous treatments with monitoring and re-treatments.,59 990.92,23 839.9,0
2025-04-10T15:13:18MDT,7ee4bf0d-7101-4373-ac58-1b68e819d533,237,59.25,Scoring,Otero Soil and Water Conservation District,Precision Ag Mapping of African Rue,9 000,NA,NA,Otero SWCD has added drone mapping to our noxious weed management program.  Additional funding is required to adequately map the African Rue populations within Otero County.,58 117.5,10 595,10 595
2025-04-10T16:46:55MDT,9dbbb772-3919-4e88-832c-e082c82c5562,241,60.25,Scoring,Central Curry SWCD,Sustainable Noxious Weed Management for Enhanced Agricultural Productivity,NA,NA,2 490,"This project focuses on controlling noxious weeds on agricultural land using either mechanical or chemical treatments. By collaborating with producers, we aim to reduce weed populations, improve land productivity, and provide sustainable land management solutions.",58 905.44,14 250,0
2025-04-11T06:20:18MDT,3966eb8a-8aff-4d73-884e-171524b3c9f6,288,72,Scoring,Taos Soil and Water Conservation District,Mechanical Removal and Follow Up Treatment for Russian Olives In Taos County,80,NA,40,This project will focus on mechanical removal of Russian Olive trees on Taos County private agricultural land and follow up treatments to address tree resprouting.,59 976.8,13 425,0
2025-04-11T07:40:35MDT,76d58acb-29a3-4f07-84f4-23f39ad67995,255,63.75,Scoring,Santa Clara Pueblo Forestry,Santa Clara Pueblo Invasive Plant Species Management,300,2 500,200,"The project proposes to do a variety of invasive species planning, prevention, and 
implementation activities on Santa Clara Pueblo lands in conjunction with our newly developed Santa Clara Pueblo 
Invasive Species Management Plan.",59 981.08,27 280,27 280
2025-04-11T08:50:17MDT,5dc0250e-0f43-4884-b0ea-1124a9e87b4a,273,68.25,Scoring,New Mexico State University,Integration of biological control beetles and mowing for improved tamarisk (saltcedar) management.,NA,NA,1 000,We propose integrating use of mowing and existing biological control agents (tamarisk leaf beetles) to reduce populations of tamarisk (saltcedar) at Caballo Reservoir. Green leaf volatiles (GLV) will be used to improve tamarisk leaf beetle efficacy.,55 869.6,0,0
2025-04-11T09:43:40MDT,41838f5b-d9d3-4f8d-811a-27f7464befad,299,74.75,Scoring,Chaves Soil & Water Conservation District,Chaves SWCD Salt Cedar Initiative and Noxious Weed Control,500,500,54.8,"Salt Cedar has infested riparian habitats and is spreading across our waterways, drainages and native grasslands. This initiative will build off previous salt cedar eradication efforts and include monitoring efforts and outreach with public/ stakeholders to collectively address the issue.",60 000,60 000,30 000
2025-04-11T10:33:24MDT,c8c12fa7-7d13-482c-afe0-f09e0956402c,241,60.25,Scoring,Cuba Soil and Water Conservation District,Cuba SWCD Noxious Weeds,NA,NA,500,"We will use funding to hire contractors for spraying, covering landowner costs for up to 100 acres, instead of employing one person. This approach maximizes efficiency and impact. Targeted noxious weeds are hoary cress, Russian knapweed, thistle, and others.",60 000,15 000,0
2025-04-11T10:52:15MDT,6cca1781-6453-4a76-bf4f-f3a8e6a70ecf,246,61.5,Scoring,City of Belen,Belen Noxious Weed Management,NA,NA,650,Roadrunner Public Health will provide public health noxious weed vegetation services for pre and post emergent treatment to clear weeds and reduce mosquito harborage targeting both Winter and Summer weeds on City property and right of way.,60 000,25 915.65,0
2025-04-11T10:54:48MDT,00ed2546-e632-4f9d-bec1-9d2c4fb50def,225,56.25,Scoring,Colfax Soil And Water Conservation District,Colfax county / Springer community ditches and Lazy S ranch land -- Integrated Weed  Management (on the ground treatments),NA,NA,137,"Integrated weed management along Springer community ditch system--approximately 97.23 acres
Integrated weed management within Lazy S ranch (northern Colfax county)--40 acres",40 436.33,0,0
2025-04-11T11:11:39MDT,cc973c64-1ac7-4769-a46f-5347d37a3a0d,260,65,Scoring,Taos Land Trust,Rio Fernando Park and Vigil y Romo Acequia Invasive Species Mitigation Phase 2,45,45,45,"Building on information from phase 1 of mapping, treatment, and pre/post assessments, we prioritize physical and cultural treatments and conduct additional public workshops on the threat of noxious weeds to productive lands, while leveraging other funds to re-establish  soil health.",59 730,23 067.6,0
2025-04-11T11:24:42MDT,69b2bf02-6d7b-46e2-86b0-aa1a24388d7a,257,64.25,Scoring,"Ancestral Lands Conservation Corps, a program of Conservation Legacy",Tribal Riparian and Forestry Restoration of the Bosque,NA,NA,37,"Ancestral Lands Conservation Corps will partner with the Pueblo of Sandia to address critical conservation needs along the Bosque, treating priority invasive woody species that have severe negative impacts on the health of the Rio Grande and its surrounding forest.",59 640,19 879.98,0
