ID,Layer_1,ObsDate,County,County_lsad,SWCD_name,Year,shape,Land_Cover_Class,Description,
17,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.9702, 35.93836),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
18,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.98263, 35.93886),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
19,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-109.00049, 35.93175),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
20,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-109.0047, 35.92962),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
21,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-109.0047, 35.92962),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
22,52,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.78426, 36.29455),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
23,21,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.83578, 36.09556),"Developed, Open Space","Areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20% of total cover."
24,23,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.87503, 36.08722),"Developed, Medium Intensity",Areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50-79% of the total cover.
25,22,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.93398, 36.06778),"Developed, Low Intensity",Areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20-49% of total cover.
26,52,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.95022, 36.04884),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
27,52,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.98351, 36.03083),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
28,52,8/11/2001,San Juan,San Juan County,NA,2001,c(-108.9928, 36.01847),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
29,52,8/11/2001,San Juan,San Juan County,NA,2001,c(-109.00631, 36.00584),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
30,71,9/15/2003,San Juan,San Juan County,NA,2003,c(-108.69387, 36.94047),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
31,52,9/15/2003,San Juan,San Juan County,NA,2003,c(-108.62962, 36.93047),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
32,71,9/15/2003,San Juan,San Juan County,NA,2003,c(-108.60025, 36.92728),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
33,52,9/15/2003,San Juan,San Juan County,NA,2003,c(-108.58086, 36.92346),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
34,23,9/15/2003,San Juan,San Juan County,NA,2003,c(-108.68905, 36.7826),"Developed, Medium Intensity",Areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50-79% of the total cover.
35,52,8/26/2001,San Juan,San Juan County,San Juan,2001,c(-108.23625, 36.64692),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
36,52,8/26/2001,San Juan,San Juan County,NA,2001,c(-108.34233, 36.62579),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
37,52,8/26/2001,San Juan,San Juan County,NA,2001,c(-108.41596, 36.59895),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
38,52,8/26/2001,San Juan,San Juan County,San Juan,2001,c(-108.22839, 36.3362),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
39,52,10/4/2001,McKinley,McKinley County,McKinley,2001,c(-108.56147, 35.28707),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
40,52,8/27/2001,San Juan,San Juan County,San Juan,2001,c(-107.78545, 36.48573),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
41,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.89495, 35.9091),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
42,52,7/25/2001,Quay,Quay County,Southwest Quay,2001,c(-104.054, 34.875),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
43,52,7/25/2001,Guadalupe,Guadalupe County,Guadalupe,2001,c(-104.27, 34.958),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
44,52,8/12/2001,Curry,Curry County,Central Curry,2001,c(-103.187, 34.631),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
45,71,8/12/2001,Curry,Curry County,Central Curry,2001,c(-103.183, 34.637),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
46,71,8/12/2001,Curry,Curry County,Central Curry,2001,c(-103.166, 34.701),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
47,52,8/12/2001,Curry,Curry County,Central Curry,2001,c(-103.165, 34.768),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
48,52,8/12/2001,Curry,Curry County,Central Curry,2001,c(-103.112, 34.935),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
49,71,8/13/2001,Quay,Quay County,Southwest Quay,2001,c(-103.371, 34.98),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
50,71,7/29/2001,Torrance,Torrance County,Claunch-Pinto,2001,c(-106.223, 34.665),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
51,52,7/29/2001,Torrance,Torrance County,East Torrance,2001,c(-106.165, 34.753),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
52,52,10/31/2003,Grant,Grant County,Grant,2003,c(-108.587, 32.86),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
53,52,10/31/2003,Grant,Grant County,Grant,2003,c(-108.956, 33.12),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
54,52,7/25/2001,Quay,Quay County,Southwest Quay,2001,c(-104.019, 34.672),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
55,52,7/25/2001,Quay,Quay County,Southwest Quay,2001,c(-104.019, 34.681),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
56,52,7/25/2001,Quay,Quay County,Southwest Quay,2001,c(-104.06, 34.799),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
57,71,6/22/2002,Rio Arriba,Rio Arriba County,East Rio Arriba,2002,c(-106.25, 36.216),Grassland/Herbaceous,"Areas dominated by herbaceous grasses and forbs, generally without woody vegetation."
58,52,6/22/2002,Rio Arriba,Rio Arriba County,East Rio Arriba,2002,c(-106.191, 36.234),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
59,52,9/7/2003,San Miguel,San Miguel County,Tierra y Montes,2003,c(-104.413, 35.716),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
60,52,7/16/2001,Luna,Luna County,Deming,2001,c(-108.18837, 31.87146),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
61,21,7/16/2001,Grant,Grant County,NA,2001,c(-108.3243, 32.18894),"Developed, Open Space","Areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20% of total cover."
62,52,6/30/2001,Otero,Otero County,Otero,2001,c(-106.08292, 33.34666),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
63,22,6/30/2001,Lincoln,Lincoln County,Carrizozo,2001,c(-106.06215, 33.46133),"Developed, Low Intensity",Areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20-49% of total cover.
64,52,6/30/2001,Lea,Lea County,Lea,2001,c(-103.79788, 32.56849),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
65,52,9/14/1998,San Juan,San Juan County,San Juan,1998,c(-107.88238, 36.43965),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
66,42,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.55238, 36.96077),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
67,42,6/25/1997,San Juan,San Juan County,San Juan,1997,c(-107.5287, 36.99174),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
68,52,6/26/1997,San Juan,San Juan County,San Juan,1997,c(-107.59468, 36.97265),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
69,52,6/26/1997,San Juan,San Juan County,San Juan,1997,c(-107.54328, 36.98097),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
70,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.52285, 36.94734),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
71,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.53947, 36.96069),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
72,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.53362, 36.96063),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
73,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.53547, 36.95546),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
74,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.55761, 36.95922),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
75,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.53206, 36.954),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
76,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.56667, 36.95803),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
77,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.5635, 36.95729),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
78,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.5649, 36.95221),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
79,52,6/27/1997,San Juan,San Juan County,San Juan,1997,c(-107.55706, 36.95625),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
80,52,6/30/1997,San Juan,San Juan County,San Juan,1997,c(-107.55957, 36.93718),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
81,52,6/29/1997,San Juan,San Juan County,San Juan,1997,c(-107.5406, 36.94336),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
82,52,6/30/1997,San Juan,San Juan County,San Juan,1997,c(-107.54181, 36.90296),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
83,52,6/30/1997,San Juan,San Juan County,San Juan,1997,c(-107.50186, 36.90633),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
84,52,6/30/1997,San Juan,San Juan County,San Juan,1997,c(-107.5665, 36.94316),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
85,52,7/1/1997,San Juan,San Juan County,San Juan,1997,c(-107.57035, 36.94074),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
86,52,7/1/1997,San Juan,San Juan County,San Juan,1997,c(-107.64716, 36.89196),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
87,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.59603, 36.87371),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
88,22,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.60354, 36.87331),"Developed, Low Intensity",Areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20-49% of total cover.
89,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.58266, 36.86616),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
90,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.57929, 36.85439),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
91,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.57109, 36.85574),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
92,52,6/15/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.50629, 36.81683),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
93,52,6/15/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.51015, 36.81315),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
94,52,6/15/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.52597, 36.81038),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
95,52,6/15/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.5515, 36.80298),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
96,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.72967, 36.81489),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
97,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68852, 36.85935),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
98,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68848, 36.86463),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
99,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68842, 36.86922),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
100,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69432, 36.8968),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
101,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69394, 36.90132),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
102,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69302, 36.90756),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
103,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69261, 36.9136),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
104,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69473, 36.92752),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
105,22,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.67486, 36.94654),"Developed, Low Intensity",Areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20-49% of total cover.
106,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.67033, 36.95196),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
107,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.66814, 36.95372),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
108,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.66728, 36.95473),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
109,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.66658, 36.95547),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
110,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.66199, 36.95926),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
111,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.6531, 36.96667),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
112,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.65125, 36.96852),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
113,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.64964, 36.97071),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
114,42,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.63397, 36.97872),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
115,42,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.62904, 36.97892),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
116,42,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.61678, 36.9819),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
117,42,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.61321, 36.98252),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
118,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.59742, 36.98413),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
119,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.73824, 36.83524),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
120,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68851, 36.86548),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
121,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68983, 36.87428),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
122,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69333, 36.87488),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
123,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.69524, 36.87497),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
124,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.7097, 36.87158),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
125,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68404, 36.84986),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
126,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.67785, 36.84121),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
127,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.68391, 36.82377),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
128,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.73577, 36.82881),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
129,52,6/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.73352, 36.82219),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
130,52,4/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.96139, 36.74347),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
131,52,4/15/1996,San Juan,San Juan County,San Juan,1996,c(-108.05067, 36.96622),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
132,52,4/15/1996,San Juan,San Juan County,San Juan,1996,c(-108.01999, 36.93221),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
133,52,4/15/1996,San Juan,San Juan County,San Juan,1996,c(-108.0125, 36.92576),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
134,52,4/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.93657, 36.77679),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
135,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.59539, 36.86462),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
136,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.59689, 36.84589),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
137,52,5/15/1996,San Juan,San Juan County,San Juan,1996,c(-107.56412, 36.90699),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
138,52,7/9/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.54362, 36.81741),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
139,52,7/10/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.52846, 36.84542),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
140,52,7/11/1996,Rio Arriba,Rio Arriba County,San Juan,1996,c(-107.55007, 36.8429),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
141,52,7/2/1998,San Juan,San Juan County,San Juan,1998,c(-107.7815, 36.77529),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
142,52,7/2/1998,San Juan,San Juan County,San Juan,1998,c(-107.75471, 36.78545),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
143,52,7/2/1998,San Juan,San Juan County,San Juan,1998,c(-107.72666, 36.82475),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
144,52,7/2/1998,San Juan,San Juan County,San Juan,1998,c(-107.72497, 36.82527),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
145,52,7/2/1998,San Juan,San Juan County,San Juan,1998,c(-107.71293, 36.83872),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
