"","Field1","Project_Ti","Grantee","Grantee_Ty","Project_Sp","County","Project_La","Amount_Spe","Practices","Project_Su","Town","Zip_Code","Cropland","Rangeland","Orchard","Subsistenc","Forest_Lan","Wildlife_H","Cover_crop","Planting_h","Establishi","No_till_co","Multi_crop","Crop_lives","Planned_gr","Bale_grazi","Mulching","Compost_ap","Microbial_","Wetland_ri","Other","Eligible_E","Creator","Editor","X","Y","FID","EditDate","CreationDa","Acres","Project_Ye"
"11",11,"Land Restoration through the Flood Irrigation of a Perennial Multi-species Cover Crop","Solarpunk Farm","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland",638.05,"Diverse cover crop","The primary goal for this project is to restore the soil health and bring into vegetable production an ⅛-acre field which has been fallow for many years, and currently has high weed pressure.  Roughly half of the target area has been leveled by hand and seeded with a basic cover crop. The resources requested will permit the remainder of the land to be efficiently irrigated so that a perennial multi-species cover crop can be established.","Albuquerque",87104,"Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11874998.8273,4179763.2719,11,"2023-06-11","2023-06-11",0,2020
"12",12,"ReLeaf Farm - Integration of Sustainable Soil Management","Natural ReLeaf Farm","Individual Applicant","Doña Ana SWCD","Doña Ana","Cropland",1072.2,"Cover crop","Rio Fernando Park is a 20-acre multi-use public park in the heart of downtown Taos. Owned by Taos Land Trust, Rio Fernando Park operates in part as an agricultural demonstration area for the practice of healthy soil principles and regenerative agriculture. 2021 will be our third growing season practicing healthy soil principles, including testing soil and adjusting practices based on those results.","Berino",88048,"Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Doña Ana SWCD","NMSU_SparcLab","NMSU_SparcLab",-11869057.802,3772679.2888,12,"2023-06-11","2023-06-11",35,2020
"13",13,"Sandia Pueblo Agricultural Science, Education, and Community Garden Project","Pueblo of Sandia","Individual Applicant","Coronado SWCD","Sandoval","Cropland",15508.56,"Diverse cover crop; livestock integration on cropland; polinator habitat","The goal of this project is to help our current and future farmers/ranchers better understand the need for soil testing fertilization, crop cover, minimizing soil disturbance with as little plowing/tilling as possible to maintain a living root, while maintaining moisture in the soil, introducing a pllinator enhancement plan to bring back pollinators to all fields and ordchards to help pollinate all crops, both above and below ground pollinator dwellers. Also, a bison berd will be kept within the community garden during the fall and winter season to fertilize and cultivate the cropland, thus maximizing the biodiversity and integrating animals into land management. Finally a community hoop house will be constructed and a part-time gardener will be hired to oversee project operations and maintain equipment and garden wellness.","Bernalillo",87004,"Y","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","Coronado SWCD","NMSU_SparcLab","NMSU_SparcLab",-11863689.4337,4198581.3863,13,"2023-06-11","2023-06-11",7,2020
"14",14,"Soil and land restoration in Jaconita, NM","Christopher & Kimberly Sheehan","Individual Applicant","N/A","Santa Fe","Cropland",5783.4,"Cover crop; mulchung; keyline countouring","Overall project goal: We are new farmers in Jaconita, New Mexico working to establish a small-scale, biodynamic farm on 6 acres of fallow lands that has only been used for grazing horses. Objectives to attain the overall goal: -Perform Keyline contouring in the areas of the farm that need work for even distribution of the acequia water resource. -Seeding using the Keyline approach and a gentle imprint seeder in order to establish a healthy ground cover. -By March of 2020 we propose to mulch the orchard as awell as a portion of the irrigable acreage in preparation for planting row crops using no till practices. -Conduct soil testing before and after implementation of the project.","Jaconita",87506,"Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","Acequia de la Otra Banda","NMSU_SparcLab","NMSU_SparcLab",-11803322.9304,4285797.1448,14,"2023-06-11","2023-06-11",3,2020
"15",15,"Restoring Urban Interace to Native NM Grassland","Timsan & Sandi Wilkie","Individual Applicant","Carlsbad SWCD","Eddy","Cropland",7504.74,"Compost application; mulch application; range planting; planned grazing; bale grazing","The plan is to use grazing disturbance and natural fertilization to encourage restoration and ecosystem health. Weanling aged cattle will be rotated throughout the study site using high-frequency/low-intensity methods to promote regenerative plant growth; seeding and mulching will be implemented to further increase soil health and biodiversity.","Carlsbad",88220,"Y","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","Carlsbad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11606923.9211,3815059.2589,15,"2023-06-11","2023-06-11",3,2020
"16",16,"Building a Community Garden from the Ground Down","Jeffrey Parks","Individual Applicant","Ciudad SWCD","Bernalillo","Urban Garden",5570.92,"Diverse cover crop; compost applincation; mulch","We are hoping to set the standard for community gardens. The plan is to grow cover crops used as mulch and compost, creating a sustainable garden and using the ""Triple Drip®"" irrigation to grow both up and down. We plan to spread 1"" of compost, rototill 6"" deep, plant cover crops (legumes etc.), mulch, spring harvest the cover crops, plant vegetables, mulch and harvest.","Albuquerque",87106,"N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11867636.8237,4172183.4753,16,"2023-06-11","2023-06-11",1,2020
"17",17,"Improving Pasture and Farm Soil by Adding Microbiology","Helms and Armijo Farms","Individual Applicant","Sierra SWCD","Sierra","Cropland",688,"Compost application","Our goal is to improve soil on the Helms and Armijo farms by applying a compost tea full of beneficial bacteria and fungi which will work to maximize biodiversity and capture carbon in the soil. We believe this project will eliminate the need for chemical fertilizers and reduce the amount of irrigation water needed on these farm fields.","Williamsburg",87942,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Sierra SWCD","NMSU_SparcLab","NMSU_SparcLab",-11951364.425,3908153.9682,17,"2023-06-11","2023-06-11",10,2021
"18",18,"New Beginnings Phase 2- Use of Ground Cover & Livestock to Improve Soil Health","M-Scar Farm","Individual Applicant","Colfax SWCD","Colfax","Cropland; Rangeland",16783.15,"Planting cover crops; adopting no-till; integrating crop-livestock systems; bale grazing","New Beginnings Phase 2, will continue to improve soil health by utilizing all 5 soil health principles. We plan to continue to bale graze and cover bare ground on our 410 acres in Maxwell, New Mexico. As we begin our second year of operation, last year’s improvements have been accomplished as we have reduced bare ground by 25% on our farm. Our goal this year is to cover 100% of our bare ground.","Maxwell",87728,"Y","Y","N","N","N","N","Y","N","N","Y","N","Y","N","Y","N","N","N","N","N","Colfax SWCD","NMSU_SparcLab","NMSU_SparcLab",-11639676.4049,4377890.4363,18,"2023-06-11","2023-06-11",410,2021
"19",19,"Covering the soil and introducing beneficial microbes with biochar compost in forested ranch","American Creek Properties","Individual Applicant","Colfax SWCD","Colfax","Rangeland",3145.8,"Compost application;  biochar application","We propose to “keep the soil covered” and “maximize biodiversity” by deploying a biochar- compost mixture across 20 acres of actively grazed lands that are currently underperforming in terms of plant productivity and are at risk of erosion. We will assess the benefits to the soil, plants, and cattle and share our results publicly.","Eagle Nest",87718,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Colfax SWCD","NMSU_SparcLab","NMSU_SparcLab",-11718700.3869,4366475.9652,19,"2023-06-11","2023-06-11",20,2021
"20",20,"Martinez Ranch transition to Regenerative Practices","Martinez Ranch","Individual Applicant","Taos SWCD","Taos","Cropland; Rangeland",1887,"Planting cover crops; adopting no-till;  planned grazing","The project will be to begin transitioning the applicant’s crop and pasture land to the regenerative agriculture model.  The focus will be to plant diverse plant species using “no-till” practices.  Soil testing will be used establish the current baseline of the soil.  The goal will be to improve the productivity of the land through plant diversity, improved water retention, nutrient cycling, and livestock.","Taos",87571,"Y","Y","N","N","N","N","Y","N","N","Y","N","Y","Y","N","Y","Y","Y","N","Y","Taos SWCD","NMSU_SparcLab","NMSU_SparcLab",-11755890.3505,4356117.5775,20,"2023-06-11","2023-06-11",44,2021
"21",21,"Quay Ranch Orchard and Rangeland Soil Health Improvement Project","Quay Ranch","Individual Applicant","Canadian River SWCD","Quay","Cropland; Rangeland; Orchard",10310.44,"Cover cropping; mulching; reduced tillage; compost production & application; microbial inoculation; integrating crop-livestock system; managed grazing plan for chickens","The proposed project aims to implement soil restoration practices that retain soil and water across 10 acres of degraded rangelands on the Quay Ranch. The project includes two locations: (a) an orchard development area at the higher elevation of the ranch and (b) a degraded grazing area at the lower end of the property with a potential to retain water and soil. Both sites address all Five Soil Health Principles.","Tucumcari",88401,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Canadian River SWCD","NMSU_SparcLab","NMSU_SparcLab",-11551329.5191,4195251.1051,21,"2023-06-11","2023-06-11",10,2021
"22",22,"Cover Cropping Systems for Dryland Farming","Randall Rush","Individual Applicant","SW Quay SWCD","Quay","Cropland",20824.2,"Planting cover crops; planned grazing","The goal of this project is to better understand and establish a cover cropping system on dry land that  1) is economically feasible  2) improves upon soil organic matter content 3) controls erosion  4) integrates with a weed management program and 5) discovers and utilizes plant species that are suitable for Eastern NM. Upon completion, the land should be healthier and add consistency to crop and forage yields.","McAlister",88427,"Y","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","Southwest Quay SWCD","NMSU_SparcLab","NMSU_SparcLab",-11545508.5273,4138637.8046,22,"2023-06-11","2023-06-11",571,2021
"23",23,"Building Healthy Soil While Replanting an Orchard","Tedford Farm","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Rangeland; Orchard",3865.03,"Establishing native grass conservation cover","Tedford Farm aims to build soil health while replanting trees in an old orchard. By removing the shrubs that have invaded and planting a orchard cover crop among the trees and a dry grassland and forb mix, we will increase biodiversity and promote beneficial microbial and pollinator populations, reduce bare ground, and maintain living roots through the variety of perennial vegetation.","La Puebla",87532,"N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11799414.2846,4297636.0002,23,"2023-06-11","2023-06-11",4,2021
"24",24,"Adding compost to vegetable garden beds","Amelia Vogel","Individual Applicant","Valencia SWCD","Valencia","Cropland",939.68,"Mulching; compost application","Our efforts to create vegetable garden beds through sheet-mulching are already showing lots of promise. So far, we have used corrugated cardboard and arborist woodchips, materials that are abundant and available for free in our community. We would like to purchase compost to increase water retention and cation exchange capacity as well as to nourish microbes and other soil organisms…to grow healthy food.","Belen",87002,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Valencia SWCD","NMSU_SparcLab","NMSU_SparcLab",-11883900.5564,4117030.9825,24,"2023-06-11","2023-06-11",1,2021
"25",25,"Native Grasses, Lavender, and Alpacas","Bluefly Farms","Individual Applicant","Valencia SWCD","Valencia","Cropland",2500,"Planting native grasses, & other native vegetation cover","We aim to establish a mix of native, drought tolerant grasses in our production lavender field as perennial living mulch and row cover as well as forage for our alpacas.","Peralta",87042,"Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Valencia SWCD","NMSU_SparcLab","NMSU_SparcLab",-11879010.9005,4140405.988,25,"2023-06-11","2023-06-11",0,2021
"26",26,"Implementing Regenerative Ag Practices","Skrak Farm","Individual Applicant","Coronado SWCD","Sandoval","Cropland",30597,"Planting cover crops; compost application","Utilizing the application of soil plant biodiversity/rotation and livestock rotation to improve organic matter in soil utilizing organic products and practices.  I base my approach from taking soil samples and utilizing the Haney soil testing to have a greater understanding of my soil needs.   I have attached a most recent Haney soil review.","Peña Blanca",87041,"Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Coronado SWCD","NMSU_SparcLab","NMSU_SparcLab",-11838813.1826,4240788.5318,26,"2023-06-11","2023-06-11",40,2021
"27",27,"Spirithaven Healthy Soils Grant Proposal 2020","Spirithaven Ranch","Individual Applicant","Guadalupe SWCD","Guadalupe","Cropland; Rangeland",20641.3,"Planting cover crops; planned grazing","The Spirithaven Healthy Soils Project (HSP) focuses on 65 agriculturally productive acres where we will implement a combination of proven soil health improvement practices, managed grazing practices and data collection protocols to demonstrate the efficacy of soil health and improvement practices in conjunction with the correct managed grazing practices.","Santa Rosa",88345,"Y","Y","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","Guadalupe SWCD","NMSU_SparcLab","NMSU_SparcLab",-11649319.5255,4150022.7858,27,"2023-06-11","2023-06-11",65,2021
"28",28,"Improve Soils and Water Conservation at Dobie Farms Pecan Orchard (Mesilla, NM)","Dobie Farms Pecan Orchard / Jean Fulton & Sonya Cooper","Individual Applicant","Doña Ana SWCD","Doña Ana","Orchard",2233.07,"Planting cover crops; introducing earthworms","Improve soils by re-seeding with shade-tolerant and drought-resistant “Persist” Orchard Grass seed. Introduce beneficial insects such as ladybugs to live in the root/soil matrix. Introduce keystone species, including earthworms. Work with the NMDA and 3Tier Tech (3tiertech.com)  consultants to improve the soil microbial ecosystem. Provide complete project documentation.","Mesilla",88005,"N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Doña Ana SWCD","NMSU_SparcLab","NMSU_SparcLab",-11889230.1774,3797454.8742,28,"2023-06-11","2023-06-11",18,2021
"29",29,"La Carreta Farm and Orchard Healthy Soil Improvements for 2021","La Carreta Farm","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland; Rangeland",4148.6,"Planting cover crops; composted manure application","The purpose of this healthy Soil Proposal is to replenish health to soil on the farm that once had pasture grasses and green manure cover crop. Besides planting new cover crops and pasture grass, I also would like to enhance the soil by new additions of compost, aged manure, Vermiculture worm castings . This approach helps to prevent erosion, manage weeds, integrate habitat for wild pollinators simultaneously.","Dixon",87527,"Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11783763.8484,4326832.0829,29,"2023-06-11","2023-06-11",0,2021
"30",30,"Firstfruit Orchards Inc.","Firstfruit Orchards Inc.","Individual Applicant","Doña Ana SWCD","Doña Ana","Orchard",6910,"Planting cover crops; integrated crop-livestock system; compost application","Cover Crop seeding of land under Pecan trees. In 2020 we grazed under the pecan trees.. We inoculate with Bacteria and Fungi each month of the growing season to stimulate the microbes and increase digestion of animal manure and cover crop residues which also improves the nutrient cycling. Our goal is  also to improve water infiltration and water holding capacity by improved organic matter. Also, we have stopped conventional/synthetic inputs and mainly utilize organic inputs for NPK and other nutrients. Our goal is to regenerate our soils and raise yield and quality of the crop simultaneously.","Mesquite",88048,"N","N","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","N","Doña Ana SWCD","NMSU_SparcLab","NMSU_SparcLab",-11878003.5951,3783841.312,30,"2023-06-11","2023-06-11",120,2021
"31",31,"Holistic Cover Cropping for Produce Production","Brett Ellison & August Young","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland",6339.97,"Planting cover crops; adopting no-till","This project will incorporate a variety of living covers in permanent produce aisles and introduce annual cover crops in bed tops. The increased soil health, water-saving, and pollinator and insect attraction from cover cropping will create long-term benefits for our farm and the surrounding natural habitats of the Rio Grande river corridor.","El Guique",87566,"Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11807034.7689,4314407.9985,31,"2023-06-11","2023-06-11",20,2021
"32",32,"Regenerative Agriculture Restoration at Rio Fernando Park","Taos Land Trust","Individual Applicant","N/A","Taos","Wildlife Habitat",6621.3,"Planting cover crops; adopting no-till; mulching; compost application; microbial stimulation; planting pollinator habitat","Project consists of cover cropping 200 acres.  75 landowner/producers will participate.  6 videos (youth film makers) and 500 durable local soil health guides will be created.  Producers will be serviced via initial and final rapid field soil assessments and initial soil test.  1 livestock management workshop and 6 general soil workshops will be held.","Taos",87571,"N","N","N","N","N","Y","Y","N","Y","Y","N","N","N","N","Y","Y","Y","N","N","Vigil y Romo Acequia","NMSU_SparcLab","NMSU_SparcLab",-11753870.6797,4355750.559,32,"2023-06-11","2023-06-11",8,2021
"33",33,"Los Ranchos’ Agri-Nature Center Growing Healthy Soils Project","Los Ranchos' Agri-Nature Center","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland",3508.33,"Planting cover crops; adopting no-till; compost application;  compost production","This project focuses on two main goals intended to use Healthy Soil Principles to begin growing healthy soils and maximizing biodiversity: 1) planting four selected cover crops and wild flowers between test plots to evaluate which most effectively increase organic matter & 2) building and equipping a compost demonstration site to compare different composting approaches and test their effectiveness in our field.","Los Ranchos de Albuquerque",87107,"Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","Y","N","N","Y","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11873538.707,4183894.5078,33,"2023-06-11","2023-06-11",4,2021
"34",34,"Atrisco Community Farm Pasture and Orchard Regeneration","Artisco Community Farm","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland; Rangeland; Orchard",2881.5,"Planting cover crops, planting perennial grasses & flowering hedge; multi-cropping; adopting no-till; planned grazing; compost application","We aim to improve soil health at Atrisco Community farm in Albuquerque’s South Valley. This site has a long history of agricultural use but has been seriously neglected for the past decade, until we began working on it several years ago. Our project has historically addressed all of the elements of the healthy soil principles, and we wish to refine and expand these efforts. We will continue to improve soil health by regenerating abandoned pastures, installing a mixed orchard, and continuing to make cropland improvements.","Albuquerque",87105,"Y","Y","Y","N","N","N","Y","N","Y","Y","Y","N","Y","N","N","Y","N","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11878181.0146,4169232.2502,34,"2023-06-11","2023-06-11",1,2021
"35",35,"Enabling Soil Regeneration to Increase Food Security","Brazos View Farm","Individual Applicant","Upper Chama SWCD","Rio Arriba","Cropland",4496.13,"Planting cover crops; mulching; compost production; improved irrigation; planting pollinator habitat; mob grazing","My long-term goal is to establish soil resilience on the farm to protect my agricultural operation against extended droughts and climate change. The proposed project is the first phase of a multi-year effort to regenerate the soil and establish a thriving food production operation in the face of climate change.","Los Ojos",87551,"Y","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y","N","N","N","Y","Upper Chama SWCD","NMSU_SparcLab","NMSU_SparcLab",-11862960.422,4403945.4974,35,"2023-06-11","2023-06-11",11,2021
"36",36,"Growing Forward Farm Healthy Soils Demonstration Project","San Juan County Extension – Growing Forward Farms","Individual Applicant","San Juan SWCD","San Juan","Cropland",22526.91,"Planting cover crops; no-till/reduced till; mulching; compost production & application; riparian buffer strip; pollinator habitat","San Juan County Extension seeks to develop the multi-agency “Growing Forward Farm” Healthy Soils Demonstration Area on 12 acres of county-owned land across from the Extension Office, and within a mile of the San Juan SWCD and NRCS offices. The currently fallow site will be improved via educational demos of cover crops, improved tillage practices, multiple compost methods, and biodiversity planting.","Aztec",87410,"Y","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","Y","Y","N","N","Y","San Juan SWCD","NMSU_SparcLab","NMSU_SparcLab",-12024669.2576,4414513.6525,36,"2023-06-11","2023-06-11",12,2021
